company_key,ticker,company_name,matched_name,match_type
EUROKAPITALYATORTAS,EUKYO,Euro Kapital Yat. Ort. A.Ş.,Euro Kapital Yatirim Ortakligi Anonim Sirketi,fuzzy_0.800
EUROMENKUL,EUYO,Euro Menkul,Euro Menkul Kiymet Yatirim Ortakligi Anonim Sirketi,prefix
EUROTRENDYATIRIMORTAKLIGI,ETYAT,Euro Trend YO,Euro Trend Yatirim Ortakligi A.S.,prefix
EUROYATIRIM,EUHOL,Euro Yatırım,Euro Yatirim Holding A.S.,prefix
EUROPAPTEZOLKAGITSANAYI,TEZOL,Europap Tezol Kağıt Sanayi,Europap Tezol Kagit Sanayi ve Ticaret A.S.,prefix
EUROPENENDUSTRIINSAAT,EUREN,Europen Endüstri İnşaat,Europen Endustri Insaat Sanayi ve Ticaret A.S.,prefix
EUROPOWERENERJI,EUPWR,Europower Enerji,Europower Enerji ve Otomasyon Teknolojileri Sanayi Ticaret Anonim Sirketi,prefix
FLAPKONG,FLAP,FLAP KONG,Flap Kongre Toplanti Hizmetleri Otomotiv ve Turizm A.S.,prefix
FEDERALMOGUL,FMIZP,Federal Mogul,Federal-Mogul Izmit Piston Ve Pim Üretim Tesisleri A.S.,prefix
FENERBAHCE,FENER,Fenerbahçe,Fenerbahçe Futbol A.S.,prefix
FONETBILGI,FONET,Fonet Bilgi,Fonet Bilgi Teknolojileri A.S.,prefix
FORDOTOMOTIVSANAS,FROTO,Ford Otomotiv San. A.Ş.,Ford Otomotiv Sanayi A.S.,fuzzy_0.919
FORTEBILGIILETISIM,FORTE,Forte Bilgi İletişim,Forte Bilgi Iletisim Teknolojileri ve Savunma Sanayi A.S.,prefix
FRIGOPAK,FRIGO,Frigo Pak,Frigo-Pak Gida Maddeleri Sanayi ve Ticaret A.S.,prefix
FUZULGAYRIMENKUL,FZLGY,Fuzul Gayrimenkul,Fuzul Gayrimenkul Yatirim Ortakligi Anonim Sirketi,prefix
GSDHOLDING,GSDHO,GSD Holding,GSD Holding A.S.,prefix
GALATAWINDENERJI,GWIND,Galata Wind Enerji,Galata Wind Enerji A.S.,prefix
GARANTIFAKTORING,GARFA,Garanti Faktoring,Garanti Faktoring A.S.,prefix
GARANTIYATIRIMORTAKLIGI,GRNYO,Garanti YO,Garanti Yatirim Ortakligi A.S.,prefix
GATETEKNOLOJIMEDYAVESIBERGUVENLIKHIZMETLERI,GATEG,Gate Teknoloji Medya ve Siber Guvenlik Hizmetleri,Gate Group Teknoloji Medya Ve Siber Guvenlik Hizmetleri A.S.,token_subset
GEDIKYATIRIM,GEDIK,Gedik Yatırım,Gedik Yatirim Menkul Degerler A.S.,prefix
GEDIZAMBALAJ,GEDZA,Gediz Ambalaj,Gediz Ambalaj Sanayi ve Ticaret A.S.,prefix
GELECEKVARLIKYONETIMIAS,GLCVY,Gelecek Varlık Yönetimi A.Ş.,Gelecek Varlik Yönetimi Anonim Sirketi,exact_canonical
GENILACVESAGLIKURUNLERI,GENIL,Gen İlaç ve Sağlık Ürünleri,Gen Ilac Ve Saglik Urunleri Sanayi Ve Ticaret Anonim Sirketi,prefix
GERSAN,GEREL,Gersan,Gersan Elektrik Ticaret ve Sanayi Anonim Sirketi,prefix
GEZINOMISEYAHAT,GZNMI,Gezinomi Seyahat,Gezinomi Seyahat Turizm Ticaret Anonim Sirketi,prefix
GIMATMAGAZACILIK,GMTAS,Gimat Mağazacılık,Gimat Magazacilik Sanayi ve Ticaret A.S.,prefix
GIRISIMELEKTRIK,GESAN,Girişim Elektrik,Girisim Elektrik Sanayi Taahhüt ve Ticaret A.S.,prefix
GLOBALMENKULDEGERLER,GLBMD,Global Menkul Değerler,Global Menkul Degerler Anonim Sirketi,prefix
GLOBALYATIRIM,GLYHO,Global Yatırım,Global Yatirim Holding A.S.,prefix
